pos	tag	func	message	source_line	has_trace	model	class_key	class_id	verdict
bucket.go:285:7	nil-deref	(*go.etcd.io/bbolt.Bucket).DeleteBucket	nil dereference in (*go.etcd.io/bbolt.Bucket).DeleteBucket	 if b.tx.db == nil {	1	p0 = ptr-nil, p1 = (seq-val #x4000000000000002 #x5000000000000000)	nil-deref|I I.I.I == I {	C173a	FP/encoding
bucket.go:287:23	nil-deref	(*go.etcd.io/bbolt.Bucket).DeleteBucket	call to (*go.etcd.io/bbolt.Bucket).Writable violates its nil-deref requirement	 } else if !b.Writable() {	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|} I I !I.I() {	C397	FP/encoding
bucket.go:294:15	nil-deref	(*go.etcd.io/bbolt.Bucket).DeleteBucket	call to (*go.etcd.io/bbolt.Bucket).Cursor violates its nil-deref requirement	 c := b.Cursor()	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I := I.I()	C004a	FP/invariant
bucket.go:317:11	nil-deref	(*go.etcd.io/bbolt.Bucket).DeleteBucket	nil dereference in (*go.etcd.io/bbolt.Bucket).DeleteBucket	 delete(b.buckets, string(newKey))	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x4000000000000000)	nil-deref|I(I.I, I(I))	C239	FP/encoding
bucket.go:599:7	nil-deref	(*go.etcd.io/bbolt.Bucket).ForEachBucket	nil dereference in (*go.etcd.io/bbolt.Bucket).ForEachBucket	 if b.tx.db == nil {	1	p0 = ptr-nil	nil-deref|I I.I.I == I {	C173b	TP
bucket.go:602:15	nil-deref	(*go.etcd.io/bbolt.Bucket).ForEachBucket	call to (*go.etcd.io/bbolt.Bucket).Cursor violates its nil-deref requirement	 c := b.Cursor()	1	p0 = ptr-nil	nil-deref|I := I.I()	C004a	FP/invariant
bucket.go:434:25	nil-deref	(*go.etcd.io/bbolt.Bucket).Get	call to (*go.etcd.io/bbolt.Bucket).Cursor violates its nil-deref requirement	 k, v, flags := b.Cursor().seek(key)	1	p0 = ptr-nil, p1 = (seq-val #xc000000000000002 #xe000000000000000)	nil-deref|I, I, I := I.I().I(I)	C294	TP
bucket.go:355:17	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt.DB).Path violates its nil-deref requirement	 if b.tx.db.Path() != dstBucket.tx.db.Path() || b.tx != dstBucket.tx {	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x6000000000000002 #x6800000000000000), p2 = (ptr-addr #x0000000000000004)	nil-deref|I I.I.I.I() != I.I.I.I() || I.I != I.I {	C172	FP/encoding
bucket.go:355:43	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt.DB).Path violates its nil-deref requirement	 if b.tx.db.Path() != dstBucket.tx.db.Path() || b.tx != dstBucket.tx {	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = (ptr-addr #x0000040000000000)	nil-deref|I I.I.I.I() != I.I.I.I() || I.I != I.I {	C172	FP/encoding
bucket.go:356:131	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt.DB).Path violates its nil-deref requirement	  lg.Errorf("The source and target buckets are not in the same db file, source bucket in %s and target bucket in %s", b.tx.db.Path(), dstBucket.tx.db.Path())	1	p0 = (ptr-addr #x0000000001000000), p1 = (seq-val #x8000000000000002 #xc000000000000000), p2 = (ptr-addr #x0000000000000000)	nil-deref|I.I(S, I.I.I.I(), I.I.I.I())	C109	FP/encoding
bucket.go:356:155	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt.DB).Path violates its nil-deref requirement	  lg.Errorf("The source and target buckets are not in the same db file, source bucket in %s and target bucket in %s", b.tx.db.Path(), dstBucket.tx.db.Path())	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = (ptr-addr #x0020000000000000)	nil-deref|I.I(S, I.I.I.I(), I.I.I.I())	C109	FP/encoding
bucket.go:376:34	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 if b == dstBucket || (b.RootPage() == dstBucket.RootPage() && b.RootPage() != 0) {	1	p0 = (ptr-addr #x0000080000000000), p1 = (seq-val #x0000000000000002 #x0800000000000000), p2 = (ptr-addr #x0000000000000000)	nil-deref|I I == I || (I.I() == I.I() && I.I() != N) {	C091	FP/invariant
bucket.go:376:58	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 if b == dstBucket || (b.RootPage() == dstBucket.RootPage() && b.RootPage() != 0) {	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x8000000000000002 #xc000000000000000), p2 = (ptr-addr #x0000001000000000)	nil-deref|I I == I || (I.I() == I.I() && I.I() != N) {	C091	FP/invariant
bucket.go:376:74	nil-deref	(*go.etcd.io/bbolt.Bucket).MoveBucket	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 if b == dstBucket || (b.RootPage() == dstBucket.RootPage() && b.RootPage() != 0) {	1	p0 = (ptr-addr #x0000040000000000), p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = (ptr-addr #x0000000000000000)	nil-deref|I I == I || (I.I() == I.I() && I.I() != N) {	C091	FP/invariant
bucket.go:572:24	nil-deref	(*go.etcd.io/bbolt.Bucket).NextSequence	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	  _ = b.node(b.RootPage(), nil)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I = I.I(I.I(), I)	C191	FP/invariant
bucket.go:576:15	nil-deref	(*go.etcd.io/bbolt.Bucket).NextSequence	call to (*go.etcd.io/bbolt/internal/common.InBucket).IncSequence violates its nil-deref requirement	 b.IncSequence()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I()	C020	FP/invariant
bucket.go:63:19	nil-deref	(*go.etcd.io/bbolt.Bucket).Root	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 return b.RootPage()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I()	C036a	TP
bucket.go:539:21	nil-deref	(*go.etcd.io/bbolt.Bucket).Sequence	call to (*go.etcd.io/bbolt/internal/common.InBucket).InSequence violates its nil-deref requirement	 return b.InSequence()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I()	C036a	TP
bucket.go:553:24	nil-deref	(*go.etcd.io/bbolt.Bucket).SetSequence	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	  _ = b.node(b.RootPage(), nil)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I = I.I(I.I(), I)	C191	FP/invariant
bucket.go:557:17	nil-deref	(*go.etcd.io/bbolt.Bucket).SetSequence	call to (*go.etcd.io/bbolt/internal/common.InBucket).SetInSequence violates its nil-deref requirement	 b.SetInSequence(v)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I)	C002a	FP/invariant
bucket.go:618:15	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 if b.RootPage() == 0 {	1		nil-deref|I I.I() == N {	C022b	FP/invariant
bucket.go:691:7	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats	call to (*go.etcd.io/bbolt.BucketStats).Add violates its nil-deref requirement	 s.Add(subStats)	1		nil-deref|I.I(I)	C002b	FP/encoding
bucket.go:622:18	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).IsLeafPage violates its nil-deref requirement	  if p.IsLeafPage() {	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000004 #x8000000000000000)	nil-deref|I I.I() {	C008b	FP/invariant
bucket.go:623:25	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	   s.KeyN += int(p.Count())	1	p0 = ptr-nil, p1 = #x7fffffffffffffff, p2 = (seq-val #x0000000000000004 #x4000000000000000)	nil-deref|I.I += I(I.I())	C082	FP/invariant
bucket.go:628:14	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	   if p.Count() != 0 {	1	p0 = ptr-nil, p1 = #x7fffffffffffffff, p2 = (seq-val #x0000000000000004 #x4000000000000000)	nil-deref|I I.I() != N {	C169	FP/invariant
bucket.go:630:57	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	    used += common.LeafPageElementSize * uintptr(p.Count()-1)	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x1000000000000000)	nil-deref|I += I.I * I(I.I()-N)	C369	FP/invariant
bucket.go:637:45	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	    lastElement := p.LeafPageElement(p.Count() - 1)	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x1000000000000000)	nil-deref|I := I.I(I.I() - N)	C210	FP/requires-lifting
bucket.go:638:36	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.leafPageElement).Pos violates its nil-deref requirement	    used += uintptr(lastElement.Pos() + lastElement.Ksize() + lastElement.Vsize())	1	p1 = #x0200100010000040, p2 = (seq-val #x0000000000000001 #x0800000000000000)	nil-deref|I += I(I.I() + I.I() + I.I())	C099	FP/invariant
bucket.go:638:58	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.leafPageElement).Ksize violates its nil-deref requirement	    used += uintptr(lastElement.Pos() + lastElement.Ksize() + lastElement.Vsize())	1	p1 = #x0200100010000040, p2 = (seq-val #x0000000000000001 #x0800000000000000)	nil-deref|I += I(I.I() + I.I() + I.I())	C099	FP/invariant
bucket.go:638:80	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.leafPageElement).Vsize violates its nil-deref requirement	    used += uintptr(lastElement.Pos() + lastElement.Ksize() + lastElement.Vsize())	1	p1 = #x0200100010000040, p2 = (seq-val #x0000000000000001 #x0800000000000000)	nil-deref|I += I(I.I() + I.I() + I.I())	C099	FP/invariant
bucket.go:641:17	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	   if b.RootPage() == 0 {	1	p1 = #xfdfffffffffffffd, p2 = (seq-val #xd000000000000008 #xd100000000000000)	nil-deref|I I.I() == N {	C022b	FP/invariant
bucket.go:648:38	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Overflow violates its nil-deref requirement	    s.LeafOverflowN += int(p.Overflow())	1	p0 = ptr-nil, p1 = #x92e3e28d09b39330, p2 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I.I += I(I.I())	C082	FP/invariant
bucket.go:653:36	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	    for i := uint16(0); i < p.Count(); i++ {	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I I := I(N); I < I.I(); I++ {	C055	FP/encoding
bucket.go:655:17	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.leafPageElement).Flags violates its nil-deref requirement	     if (e.Flags() & common.BucketLeafFlag) != 0 {	1	p1 = #xa2074048a18affff, p2 = (seq-val #x0000000000000002 #x4000000000000000)	nil-deref|I (I.I() & I.I) != N {	C370	FP/invariant
bucket.go:658:19	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt.BucketStats).Add violates its nil-deref requirement	      subStats.Add(b.openBucket(e.Value()).Stats())	1	p1 = #xffffbdde5bff6799, p2 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I.I(I.I(I.I()).I())	C070	FP/invariant
bucket.go:658:32	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt.Bucket).openBucket violates its nil-deref requirement	      subStats.Add(b.openBucket(e.Value()).Stats())	1	p1 = #xef67ffffb778df7d, p2 = (seq-val #x0000000000000002 #x0800000000000000)	nil-deref|I.I(I.I(I.I()).I())	C070	FP/invariant
bucket.go:658:40	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.leafPageElement).Value violates its nil-deref requirement	      subStats.Add(b.openBucket(e.Value()).Stats())	1	p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x4000000000000000)	nil-deref|I.I(I.I(I.I()).I())	C070	FP/invariant
bucket.go:662:27	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).IsBranchPage violates its nil-deref requirement	  } else if p.IsBranchPage() {	1	p0 = ptr-nil, p1 = #xeffffffffffffffd, p2 = (seq-val #x0000000000000004 #x2000000000000000)	nil-deref|} I I I.I() {	C061	FP/encoding
bucket.go:664:46	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	   lastElement := p.BranchPageElement(p.Count() - 1)	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x1000000000000000)	nil-deref|I := I.I(I.I() - N)	C210	FP/requires-lifting
bucket.go:668:83	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	   used := common.PageHeaderSize + (common.BranchPageElementSize * uintptr(p.Count()-1))	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x1000000000000000)	nil-deref|I := I.I + (I.I * I(I.I()-N))	C391	FP/encoding
bucket.go:673:35	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.branchPageElement).Pos violates its nil-deref requirement	   used += uintptr(lastElement.Pos() + lastElement.Ksize())	1	p1 = #x8fbbf7bfffffdfec, p2 = (seq-val #x0000000000000002 #x2000000000000000)	nil-deref|I += I(I.I() + I.I())	C198	FP/invariant
bucket.go:673:57	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.branchPageElement).Ksize violates its nil-deref requirement	   used += uintptr(lastElement.Pos() + lastElement.Ksize())	1	p1 = #x8fbbf7bfffffdfec, p2 = (seq-val #x0000000000000002 #x2000000000000000)	nil-deref|I += I(I.I() + I.I())	C198	FP/invariant
bucket.go:675:39	nil-deref	(*go.etcd.io/bbolt.Bucket).Stats$1	call to (*go.etcd.io/bbolt/internal/common.Page).Overflow violates its nil-deref requirement	   s.BranchOverflowN += int(p.Overflow())	1	p0 = ptr-nil, p1 = #xfffffffffffffffd, p2 = (seq-val #x0000000000000002 #x1000000000000000)	nil-deref|I.I += I(I.I())	C082	FP/invariant
bucket.go:729:33	nil-deref	(*go.etcd.io/bbolt.Bucket)._forEachPageNode	call to (*go.etcd.io/bbolt/internal/common.branchPageElement).Pgid violates its nil-deref requirement	    b._forEachPageNode(elem.Pgid(), depth+1, fn)	1	p2 = #xfffffffffffffffd	nil-deref|I.I(I.I(), I+N, I)	C115	FP/encoding
bucket.go:735:34	nil-deref	(*go.etcd.io/bbolt.Bucket)._forEachPageNode	call to (*go.etcd.io/bbolt/internal/common.Inode).Pgid violates its nil-deref requirement	    b._forEachPageNode(inode.Pgid(), depth+1, fn)	1	p2 = #xfffffffffffffffd	nil-deref|I.I(I.I(), I+N, I)	C115	FP/encoding
bucket.go:917:18	nil-deref	(*go.etcd.io/bbolt.Bucket).dereference	call to (*go.etcd.io/bbolt.node).root violates its nil-deref requirement	  b.rootNode.root().dereference()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I().I()	C132	FP/encoding
bucket.go:917:32	nil-deref	(*go.etcd.io/bbolt.Bucket).dereference	call to (*go.etcd.io/bbolt.node).dereference violates its nil-deref requirement	  b.rootNode.root().dereference()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I().I()	C132	FP/encoding
bucket.go:921:20	nil-deref	(*go.etcd.io/bbolt.Bucket).dereference	call to (*go.etcd.io/bbolt.Bucket).dereference violates its nil-deref requirement	  child.dereference()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I()	C020	FP/invariant
bucket.go:698:7	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPage	 if b.page != nil {	1	p0 = ptr-nil	nil-deref|I I.I != I {	C015b	mixed
bucket.go:699:8	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPage	  fn(b.page, 0, []common.Pgid{b.RootPage()})	1	p0 = ptr-nil	nil-deref|I(I.I, N, []I.I{I.I()})	C066b	FP/encoding
bucket.go:699:31	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPage	  fn(b.page, 0, []common.Pgid{b.RootPage()})	1	p0 = ptr-nil	nil-deref|I(I.I, N, []I.I{I.I()})	C066a	FP/invariant
bucket.go:699:41	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	  fn(b.page, 0, []common.Pgid{b.RootPage()})	1		nil-deref|I(I.I, N, []I.I{I.I()})	C066a	FP/invariant
bucket.go:704:4	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPage	 b.tx.forEachPage(b.RootPage(), fn)	1	p0 = ptr-nil	nil-deref|I.I.I(I.I(), I)	C076	FP/invariant
bucket.go:704:19	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPage	 b.tx.forEachPage(b.RootPage(), fn)	1	p0 = ptr-nil	nil-deref|I.I.I(I.I(), I)	C076	FP/invariant
bucket.go:704:29	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPage	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 b.tx.forEachPage(b.RootPage(), fn)	1		nil-deref|I.I.I(I.I(), I)	C076	FP/invariant
bucket.go:711:7	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPageNode	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPageNode	 if b.page != nil {	1	p0 = ptr-nil	nil-deref|I I.I != I {	C015b	mixed
bucket.go:712:8	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPageNode	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPageNode	  fn(b.page, nil, 0)	1	p0 = ptr-nil	nil-deref|I(I.I, I, N)	C240	FP/encoding
bucket.go:715:21	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPageNode	nil dereference in (*go.etcd.io/bbolt.Bucket).forEachPageNode	 b._forEachPageNode(b.RootPage(), 0, fn)	1	p0 = ptr-nil	nil-deref|I.I(I.I(), N, I)	C114	FP/invariant
bucket.go:715:31	nil-deref	(*go.etcd.io/bbolt.Bucket).forEachPageNode	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 b._forEachPageNode(b.RootPage(), 0, fn)	1		nil-deref|I.I(I.I(), N, I)	C114	FP/invariant
bucket.go:899:5	nil-deref	(*go.etcd.io/bbolt.Bucket).free	nil dereference in (*go.etcd.io/bbolt.Bucket).free	 if b.RootPage() == 0 {	1	p0 = ptr-nil	nil-deref|I I.I() == N {	C022b	FP/invariant
bucket.go:899:15	nil-deref	(*go.etcd.io/bbolt.Bucket).free	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 if b.RootPage() == 0 {	1		nil-deref|I I.I() == N {	C022b	FP/invariant
bucket.go:903:13	nil-deref	(*go.etcd.io/bbolt.Bucket).free	nil dereference in (*go.etcd.io/bbolt.Bucket).free	 var tx = b.tx	1	p0 = ptr-nil	nil-deref|I I = I.I	C180	FP/invariant
bucket.go:911:2	nil-deref	(*go.etcd.io/bbolt.Bucket).free	nil dereference in (*go.etcd.io/bbolt.Bucket).free	 b.SetRootPage(0)	1	p0 = ptr-nil	nil-deref|I.I(N)	C017b	FP/invariant
bucket.go:911:15	nil-deref	(*go.etcd.io/bbolt.Bucket).free	call to (*go.etcd.io/bbolt/internal/common.InBucket).SetRootPage violates its nil-deref requirement	 b.SetRootPage(0)	1		nil-deref|I.I(N)	C017a	FP/encoding
bucket.go:906:36	nil-deref	(*go.etcd.io/bbolt.Bucket).free$1	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	   tx.db.freelist.Free(tx.meta.Txid(), p)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(I.I.I(), I)	C283	FP/invariant
bucket.go:814:61	nil-deref	(*go.etcd.io/bbolt.Bucket).inlineable	call to (*go.etcd.io/bbolt/internal/common.Inode).Key violates its nil-deref requirement	  size += common.LeafPageElementSize + uintptr(len(inode.Key())) + uintptr(len(inode.Value()))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I += I.I + I(I(I.I())) + I(I(I.I()))	C199	FP/encoding
bucket.go:814:91	nil-deref	(*go.etcd.io/bbolt.Bucket).inlineable	call to (*go.etcd.io/bbolt/internal/common.Inode).Value violates its nil-deref requirement	  size += common.LeafPageElementSize + uintptr(len(inode.Key())) + uintptr(len(inode.Value()))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I += I.I + I(I(I.I())) + I(I(I.I()))	C199	FP/encoding
bucket.go:816:17	nil-deref	(*go.etcd.io/bbolt.Bucket).inlineable	call to (*go.etcd.io/bbolt/internal/common.Inode).Flags violates its nil-deref requirement	  if inode.Flags()&common.BucketLeafFlag != 0 {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I()&I.I != N {	C308	FP/encoding
bucket.go:860:18	nil-deref	(*go.etcd.io/bbolt.Bucket).node	nil dereference in (*go.etcd.io/bbolt.Bucket).node	 common.Assert(b.nodes != nil, "nodes map expected")	1	p0 = ptr-nil, p2 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I.I != I, S)	C263	FP/invariant
bucket.go:863:12	nil-deref	(*go.etcd.io/bbolt.Bucket).node	nil dereference in (*go.etcd.io/bbolt.Bucket).node	 if n := b.nodes[pgId]; n != nil {	1	p0 = ptr-nil, p2 = (ptr-addr #x0000000000000000)	nil-deref|I I := I.I[I]; I != I {	C186	FP/encoding
bucket.go:870:5	nil-deref	(*go.etcd.io/bbolt.Bucket).node	nil dereference in (*go.etcd.io/bbolt.Bucket).node	  b.rootNode = n	1	p0 = ptr-nil, p2 = ptr-nil	nil-deref|I.I = I	C012	FP/encoding
bucket.go:876:12	nil-deref	(*go.etcd.io/bbolt.Bucket).node	nil dereference in (*go.etcd.io/bbolt.Bucket).node	 var p = b.page	1	p0 = ptr-nil, p2 = (ptr-addr #x0000000000000000)	nil-deref|I I = I.I	C180	FP/invariant
bucket.go:878:9	nil-deref	(*go.etcd.io/bbolt.Bucket).node	nil dereference in (*go.etcd.io/bbolt.Bucket).node	  p = b.tx.page(pgId)	1	p0 = ptr-nil, p2 = (ptr-addr #x0000000000000000)	nil-deref|I = I.I.I(I)	C366	FP/invariant
bucket.go:889:4	nil-deref	(*go.etcd.io/bbolt.Bucket).node	nil dereference in (*go.etcd.io/bbolt.Bucket).node	 b.nodes[pgId] = n	1	p0 = ptr-nil, p2 = (ptr-addr #x0000000000000000)	nil-deref|I.I[I] = I	C069	FP/invariant
